"","state_name","pc_name","jcode","uniqueid","survey_date","cand_1","party_1","cand_2","party_2","cand_3","party_3","campaign_qual","spend_1","spend_2","spend_3","secret_1","secret_2","secret_3","secret_4","events_1","events_2","events_3","leaders_1","leaders_2","leaders_3","leaders_4","volunteers_1","volunteers_2","volunteers_3","bribe_qual","bribe_coded","target_qual","target_coded","win_1","win_2","win_3","actual_cand_name1","actual_cand_party1","actual_cand_voteshare1","actual_cand_name2","actual_cand_party2","actual_cand_voteshare2","actual_cand_name3","actual_cand_party3","actual_cand_voteshare3","in_sample","pc_num","pc_type","schedule_num","poll_date","resp_secret"
"141","Maharashtra","Jalgaon",416,"122-1",2014-04-24,"Ap Nana Patil","BJP","Dr.Satish Patil","NCP","","","AAM SABHA, PUBLIC MEETING, DOOR TO DOOR, CORNER MEETING, RALLIYAN","NCP","","","BJP","","","","NCP","","","BJP","","","","BJP","","","BJP-GADIYON MAI PATROL DALWAKER","12","BJP-GAON KE GARIB OR LACHAR JANTA TATHA UNKE PARIVAAR WALO KO","12, 13","BJP","","","A.T. NANA PATIL","BJP",65.4096832275391,"ANNASAHEB DR.SATISH BHASKARRAO PATIL","NCP",26.6827697753906,"BAGUL  V. T.(JIBHAU)","BSP",1.09438049793243,1,3,"GEN","6",2014-04-24,1
"142","Maharashtra","Ramtek",416,"122-2",2014-04-24,"Rakshak Khadse","BJP","Money Jain","NCP","","","RALLIYAN, GAON MAI JAKAR DOOR TO DOOR MODI SABHA, POSTER , PUMPLET","NCP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","BJP- GADIYON MAI DALWAKAR","12","BJP- GRAMIN JANTA KO KHASKARKE BUDHE OR LACHAR LOGO KE LIYE TATHA UNKE PARIVAAR WALO KE LIYE BHI","13, 14, 30","BJP","","","KRUPAL BALAJI TUMANE","SHS",49.4986267089844,"MUKUL WASNIK","INC",32.7616653442383,"KIRAN PREM KUMAR RODGE (PATANKAR)","BSP",9.0497522354126,NA,9,"SC","3A",2014-04-10,1
"143","Maharashtra","Ramtek",185,"123-1",2014-04-24,"Rashak Khadse","BJP","Money Jain","CPM","","","GHAR GHAR JAKAR PUBLIC SE MILNA JHULNA ,RALLIYAN , JAN SABHA , POSTER , PUMPLET , MOBILE ,MEDIA","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","BJP-PATROL DALWAKAR GADIYON MAI, SAHRAB","3,12","BJP- GAON KE GARIB OR UNEDUCATED LOGO KO SHARAB DIYE  GAYE ,LACHAR OR GARIBO KE LIYE GADI BHI DIYA","12, 13, 30","BJP","","","KRUPAL BALAJI TUMANE","SHS",49.4986267089844,"MUKUL WASNIK","INC",32.7616653442383,"KIRAN PREM KUMAR RODGE (PATANKAR)","BSP",9.0497522354126,NA,9,"SC","3A",2014-04-10,1
"144","Maharashtra","Jalgaon",178,"124-1",2014-04-23,"Ap Nana Patil","BJP","Dr. Satish Patil","CPM","","","RALLIYAN, AAM SABHA, PUBLIC MEETING DOOR TO DOOR JAKAR","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","BJP-GADIYON MAI PATROL BHARWAKER DETE HAI","12","BJP- GRAMIN JANTA KO VOTE DENE KE LIYE GADIYAN DETE HAI","13","BJP","","","A.T. NANA PATIL","BJP",65.4096832275391,"ANNASAHEB DR.SATISH BHASKARRAO PATIL","NCP",26.6827697753906,"BAGUL  V. T.(JIBHAU)","BSP",1.09438049793243,1,3,"GEN","6",2014-04-24,1
"145","Maharashtra","Jalna",175,"125-1",2014-04-23,"Wilas Avetade","INC","Rao Danve","BJP","Kunj Bihari Lal","SP","CNG- PARCHAR, PARSAR, MORCHA, BJP-MEETING, MEDIA, BAITHAK, SAMAJWADI PARTY- BANNER, SABHA","INC","","","INC","","","","INC","","","INC","","","","INC","","","CNG-CASH","1","CNG-GARIBO OR AAM LOGO KO DIYA JAYEGA","12, 35","INC","","","DANVE RAOSAHEB DADARAO","BJP",55.4675750732422,"AUTADE VILAS KESHAVRAO","INC",36.0728492736816,"DR. WANKHEDE SHARADCHANDRA GANAPATRAO","BSP",2.22450637817383,1,18,"GEN","6",2014-04-24,1
"146","Maharashtra","Aurangabad",175,"125-2",2014-04-23,"Chander Kant Khere","SHS","Nitin Patil","INC","Sada Shiv Gayke","SP","SHIVSENA-SABHA, BANNER, MEETING , SAMAJWADI PARTY-MEDIA,TV CHANNEL, AAP-PARCHAR , MORCHA","INC","","","INC","","","","INC","","","INC","","","","INC","","","CNG-PAISA DIYA JAYEGA","1","CNG-GARIBO KO DIYA JAYEGA","12","INC","","","CHANDRAKANT BHAURAO KHAIRE","SHS",52.9946594238281,"PATIL NITIN SURESH","INC",36.5133743286133,"JEVRIKAR INDRAKUMAR DNYANOBA","BSP",3.80687189102173,1,19,"GEN","6",2014-04-24,1
"147","Maharashtra","Parbhani",175,"125-3",2014-04-23,"Sanjay Urf Bantu Yadav","SHS","Vijay Bhamray","NCP","Ajay Karandey Patil","SP","SHIVSENA-MEDIA, TV CHANNEL, BANNER, NCP-SABHA,PARSAR,PARCHAR, SAMAJWADI PARTY-MORCHA, SABHA, BANNER","SHS","","","SHS","","","","SHS","","","SHS","","","","SHS","","","SHIVSENA-PAISA DIYA JAYEGA","1","SHIVSENA - GARIB OR AAM LOGO KO DIYA JAYEGA","12, 35","SHS","","","JADHAV SANJAY (BANDU) HARIBHAU","SHS",49.7709999084473,"BHAMBALE VIJAY MANIKRAO","NCP",38.8304252624512,"GULMIR KHAN","BSP",2.90096735954285,1,17,"GEN","5",2014-04-17,1
"148","Maharashtra","Jalna",12,"126-1",2014-04-22,"Wilas Avtade","INC","Raosat Danve","BJP","Dilip Maske","AAAP","CNG-SABHA, MORCHA, BAITHAK, BJP- GHAR GHAR JATE HAI, MORCH , AAP-BANNER, MORCHA","INC","","","INC","","","","INC","","","INC","","","","INC","","","CNG-PAISA DIYA JAYEGA","1","CNG- GARIBO KO DENGE","12","INC","","","DANVE RAOSAHEB DADARAO","BJP",55.4675750732422,"AUTADE VILAS KESHAVRAO","INC",36.0728492736816,"DR. WANKHEDE SHARADCHANDRA GANAPATRAO","BSP",2.22450637817383,1,18,"GEN","6",2014-04-24,1
"149","Maharashtra","Aurangabad",12,"126-2",2014-04-22,"Chanderkant Khere","SHS","Nitin Patil","INC","","","SHIVSENA-SABHA, BANNER, BAITHAK , CNG-MORCHA,GHAR GHAR JATE HAI","","","","","","","","","","","","","","","","","","","","","","","","","CHANDRAKANT BHAURAO KHAIRE","SHS",52.9946594238281,"PATIL NITIN SURESH","INC",36.5133743286133,"JEVRIKAR INDRAKUMAR DNYANOBA","BSP",3.80687189102173,1,19,"GEN","6",2014-04-24,0
"150","Maharashtra","Aurangabad",174,"127-1",2014-04-23,"Chanderkant Khere","SHS","Nitin Patil","INC","","","RALLY, AAM SABHA, GAON GAON MAI JAKAR DOOR TO DOOR SOCIAL MEDIA","SHS","","","INC","","","","SHS","","","SHS","","","","SHS","","","SHIVSENA, CNG-PAISE,SHARAB","1,3","GAON KE GARIB OR UNEDUCATED LOGO KE BEACH -CNG","12, 13","SHS","","","CHANDRAKANT BHAURAO KHAIRE","SHS",52.9946594238281,"PATIL NITIN SURESH","INC",36.5133743286133,"JEVRIKAR INDRAKUMAR DNYANOBA","BSP",3.80687189102173,1,19,"GEN","6",2014-04-24,1
"151","Maharashtra","Aurangabad",11,"128-1",2014-04-22,"Chanderkant Khere","SHS","Nitin Patil","INC","","","RALLIYON KE DWARA, GHAR GHAR JAKAR LOGO SE MILNA, AAM SABHA, AADI AISE HIPARCHAR KAR RAHE HAI","SHS","","","SHS","","","","SHS","","","SHS","","","","SHS","","","SHIVSENA-CASH","1","SHIVSENA-ABHI GAON KE MUKHIYA KO DE RAHE HAI","13","SHS","","","CHANDRAKANT BHAURAO KHAIRE","SHS",52.9946594238281,"PATIL NITIN SURESH","INC",36.5133743286133,"JEVRIKAR INDRAKUMAR DNYANOBA","BSP",3.80687189102173,1,19,"GEN","6",2014-04-24,1
"152","Maharashtra","Nandurbar",364,"129-1",2014-04-23,"Manik Rao Gawit","INC","Heena Rawit","BJP","","","CNG, BJP-RALLIYAN HO RAHI HAI BADI BADI PARCHAR SABHAEN BHI HO RAHI HAI","BJP","","","BJP","","","","BJP","","","INC","","","","INC","","","BJP- CASH","1","BJP-AADIWASI LOGO KE BEACH PAISA BANTA  JAYEGA","9","INC","","","DR.GAVIT HEENA VAIJAYKUMAR","BJP",51.8938331604004,"GAVIT MANIKRAO HODLYA","INC",42.3203315734863,"None of the Above","NOTA",1.89652144908905,1,1,"ST","6",2014-04-24,1
"153","Maharashtra","Nandurbar",184,"130-1",2014-04-23,"Manik Rao Gawit","INC","Heena Rawit","BJP","","","CNG, BJP- GHAR GHAR JAKAR MULAKAT KAR RAHE HAI , SABHAEN HO RAHI HAI, RALLYIYAN, SABHAEN , MEETING H","INC","BJP","","BJP","","","","INC","BJP","","INC","","","","INC","","","BJP- PAISE BANTE JAYENGE","1","BJP- MIDDLE CLASS KE LOGO KO DIYA JAEGA","18","INC","","","DR.GAVIT HEENA VAIJAYKUMAR","BJP",51.8938331604004,"GAVIT MANIKRAO HODLYA","INC",42.3203315734863,"None of the Above","NOTA",1.89652144908905,1,1,"ST","6",2014-04-24,1
"154","Maharashtra","Dhule",184,"130-2",2014-04-23,"Amris Patel","INC","Dr. Subhash Baade","BJP","","","CNG , BJP- ISS KSHETRA MAI BHI RALLIYAN HO RAHI HAI, MEETING HO RAHI HAI, GHAR GHAR JAKER PARICHAY","INC","","","BJP","","","","INC","","","INC","","","","INC","","","BJP-PAISE BANTE JAYENGE","1","BJP- MIDDLE CLASS KE LOGO KO DIYA JAYEGA","18","INC","","","DR. BHAMRE SUBHASH RAMRAO","BJP",53.8560829162598,"AMRISHBHAI RASIKLAL PATEL","INC",40.5588340759277,"ISHI YOGESH YASHWANT","BSP",1.00673091411591,1,2,"GEN","6",2014-04-24,1
"155","Maharashtra","Nashik",369,"131-1",2014-04-22,"Hemant Gudke","SHS","Chaggan Pujwal","NCP","Dr. Pradeep Pawar","MNS","SHIVSENA - SABHA, PARTYON, SAMBODHIT, MORCHA, NCP- BANNER, GAHR GHAR JATE HAI,","SHS","","","SHS","","","","SHS","","","SHS","","","","SHS","","","SHIVSENA-PAISA DIYA JAYEGA","1","SHIVSENA- GARIBO DIYA JAYEGA","12","SHS","","","GODSE HEMANT TUKARAM","SHS",52.7770805358887,"CHHAGAN BHUJBAL","NCP",32.7925491333008,"DR. PRADEEP PAWAR","MNS",6.72601509094238,1,21,"GEN","6",2014-04-24,1
"156","Maharashtra","Dindori",369,"131-2",2014-04-22,"Harish Chander Chouhan","BJP","Bharti Pawar","NCP","","","BJP- SABHA BAITHAK,MORCHA,BANNER , NCP-POPLET, MORCHA","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","BJP-PAISA OR ANAJ DIYA JAYEGA","1,2","BJP-GARIBO AAM LOGO KO DIYA JAYEGA","12, 35","BJP","","","CHAVAN HARISHCHANDRA DEORAM","BJP",55.9466171264648,"DR. BHARATI PRAVIN PAWAR","NCP",30.4236736297607,"COM. HEMANT MOTIRAM WAGHERE","CPM",7.48302888870239,1,20,"ST","6",2014-04-24,1
"157","Maharashtra","Nashik",91,"132-1",2014-04-22,"Chaggan Pujwal","NCP","Hemant Gudke","SHS","Dr. Pradeep Pawar","MNS","SHIVSENA-PUBLIC MEETING, BANNER , NCP- MORCHA, PUBLISITY, MAHARASTRA NAV NIRMAN SEVA-BAITHAK, BANNER","SHS","","","SHS","","","","SHS","","","SHS","","","","SHS","","","SHIVSENA-PAISA DE RAHA HAI , MEATHAIYAN BANT RAHA HAI; BJP ANAJ DE RHA HEI","1,2,13","SHIVSENA-AAM LOGO , GARIBO KO DIYA JA RAHA HAI","12,35","SHS","","","GODSE HEMANT TUKARAM","SHS",52.7770805358887,"CHHAGAN BHUJBAL","NCP",32.7925491333008,"DR. PRADEEP PAWAR","MNS",6.72601509094238,1,21,"GEN","6",2014-04-24,1
"158","Maharashtra","Dindori",91,"132-2",2014-04-22,"Harish Chnder Chouhan","BJP","Bharti Pawar","NCP","","","BJP-PUBIC,MORCHA,GHAR GHAR JATE HAI , NCP-BANNER , MEETING","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","SHIV SENA,PAISA DE RAHA MITTHAI BANTA; BJP-ANAJ DE RAHA HAI","1,2,13","NCP-AAM SHIVSENA LOGO KO, GARIBO KO DIYA JA RAHA HAI","12, 35","NCP","","","CHAVAN HARISHCHANDRA DEORAM","BJP",55.9466171264648,"DR. BHARATI PRAVIN PAWAR","NCP",30.4236736297607,"COM. HEMANT MOTIRAM WAGHERE","CPM",7.48302888870239,1,20,"ST","6",2014-04-24,1
"159","Maharashtra","Dhule",68,"133-1",2014-04-23,"Subhash Bhamre","BJP","Amrish Bhai Patel","INC","","","GAON GAON MAI JAKAR , GADIYON SE MIKE KE DWARA, RALLIYAN AADI","BJP","","","INC","","","","BJP","","","INC","","","","INC","","","CNG-KHILANE PILANE MAI, T-SHIRT, GADIYON MAI FREE PATROL BHARWAKER","2,5,12","KARYAKARTAO OR GRAMIN KO- CNG","13","INC","","","DR. BHAMRE SUBHASH RAMRAO","BJP",53.8560829162598,"AMRISHBHAI RASIKLAL PATEL","INC",40.5588340759277,"ISHI YOGESH YASHWANT","BSP",1.00673091411591,1,2,"GEN","6",2014-04-24,1
"160","Maharashtra","Dhule",176,"134-1",2014-04-23,"Amrish Bhai Patel","INC","Subhash Bhamre","BJP","","","RIKSHAW, BANNER, HORDING, ROAD SHOW, CORNER MEETING, RALLIYON KE DWARA","INC","","","BJP","","","","INC","","","INC","","","","BJP","","","BJP- T- SHIRT,MUFRAL, TOPI, PAISE","1,5","BJP-JO LOG RALLIYON MAI AATE HAI , GAON MAI JAKAR GRAMIN JANTA KO","13","BJP","","","DR. BHAMRE SUBHASH RAMRAO","BJP",53.8560829162598,"AMRISHBHAI RASIKLAL PATEL","INC",40.5588340759277,"ISHI YOGESH YASHWANT","BSP",1.00673091411591,1,2,"GEN","6",2014-04-24,1
"161","Maharashtra","Palghar",25,"135-1",2014-04-24,"Baliram Shukkul Yadyv","BVA","Chin Tamano , Vanga","BJP","","","BAHUJAN VIKAS PARTY- MEETING OR SABHAEN BHI HO RAHI HAI, GHAR GHAR JAKAR PARCHAR KIYE JA RAHE HAI,","BVA","","","BVA","","","","BVA","","","BJP","","","","BJP","","","BAHUJAN VIKAS PARTY- PAISA BANTA JA RAHA HAI","1","BAHUJAN VIKAS PARTY - AADIWASIYON KE BEACH BANTE JA RAHE HAI","9","BJP","","","ADV. CHINTAMAN NAVASHA WANGA","BJP",53.7166366577148,"BALIRAM SUKUR JADHAV","BVA",29.5865077972412,"KHARAPADE LADAKYA RUPA","CPM",7.74618244171143,1,22,"ST","6",2014-04-24,1
"162","Maharashtra","Palghar",28,"136-1",2014-04-24,"Bali Ram Yadav","BVA","Chinta Mano Vanga","BJP","Padri","CPI","BAHUJAN VIKAS PARTY-RALLY, MORCHA BAITHAK, BJP-GHAR GHAR BAITHAK, MORCHA , CPM- BAITHAK, RALLY","BVA","","","BVA","","","","BVA","","","BVA","","","","BVA","","","BAHUJAN VIKAS PARTY-PAISA DEGI; BJP= CASH","1","BAHUJAN VIKAS PARTY-GARIBO KO DENGE","12","BVA","","","ADV. CHINTAMAN NAVASHA WANGA","BJP",53.7166366577148,"BALIRAM SUKUR JADHAV","BVA",29.5865077972412,"KHARAPADE LADAKYA RUPA","CPM",7.74618244171143,1,22,"ST","6",2014-04-24,1
"163","Rajasthan","Ganganagar",334,"137-1",2014-04-15,"Master Bhawar Lal Meghwal","INC","Nihal Meghwal","BJP","","","RALLIES , MEETING","INC","BJP","","INC","","","","INC","BJP","","INC","","","","INC","","","GIFT","","MIX TO ALL CLASS","","BJP","","","NIHALCHAND","BJP",52.3652801513672,"MASTER BHANWARLAL MEGHWAL","INC",29.1523914337158,"SHIMLA DEVI NAYAK (ADVOCATE)","nuzp",8.48062515258789,NA,1,"SC","5",2014-04-17,1
"164","Rajasthan","Ganganagar",377,"138-1",2014-04-15,"Nihal Chand","BJP","Shimla Naik","","Master Bhawar Lal","INC","RALLIES","BJP","INC","","INC","","","","BJP","INC","","INC","","","","INC","","","CNG","","ALL CLASS","17","BJP","","","NIHALCHAND","BJP",52.3652801513672,"MASTER BHANWARLAL MEGHWAL","INC",29.1523914337158,"SHIMLA DEVI NAYAK (ADVOCATE)","nuzp",8.48062515258789,NA,1,"SC","5",2014-04-17,1
"165","Rajasthan","Karauli-Dholpur",13,"139-1",2014-04-15,"Lakhirsn Dalkhaya","INC","Manoj","BJP","Lalhan Singh Morya","AAAP","RALLIES","BJP","INC","","BJP","","","","BJP","INC","","BJP","","","","BSP","AAAP","BJP","KLAAR SAPLY,PAISA BATANA","1","MIX CLASS","","BJP","","","MANOJ RAJORIA","BJP",47.5691566467285,"LAKKHIRAM","INC",44.3519096374512,"G.R.BARUA","BSP",2.97302055358887,1,10,"SC","6",2014-04-24,1
"166","Rajasthan","Churu",142,"140-1",2014-04-15,"Rahul Kasava","BJP","Pratap Siniya","INC","Abhi Ner Maheshi","BSP","RALLIES,MEETING","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","GIFT","8","ALL CLASS","17","BJP","","","RAHUL KASWAN","BJP",52.6703109741211,"ABHINESH MAHARSHI","BSP",26.6126728057861,"PRATAP SINGH","INC",15.6406488418579,1,3,"GEN","5",2014-04-17,1
"167","Rajasthan","Bharatpur",435,"141-1",2014-04-15,"Bhaskar Shinh Poli","BJP","Haskar Surender Jatak","INC","Gopal Patiya","AAAP","RALLIES","INC","BJP","AAAP","AAAP","BJP","INC","","INC","BJP","AAAP","INC","BJP","AAAP","","BJP","","","PAISA BATATE HAI","","MIX","","INC","","","BAHADUR SINGH","BJP",60.2458152770996,"DR.SURESH JATAV","INC",34.7408447265625,"MAHENDAR KUMAR JATAV","BSP",2.29522705078125,1,9,"SC","6",2014-04-24,1
"168","Rajasthan","Ajmer",137,"142-1",2014-04-15,"Sachin Pailat","INC","Sanwar Lal Jat","BJP","","","RALLIES,MEETING","INC","","","INC","BJP","","","INC","","","INC","","","","INC","BJP","","GIFT","8","MIX","","INC","","","SANWAR LAL JAT","BJP",55.1644287109375,"SACHIN PILOT","INC",40.2910461425781,"None of the Above","NOTA",1.08499944210052,NA,13,"GEN","5",2014-04-17,1
"169","Rajasthan","Kota",133,"143-1",2014-04-15,"Om Bidala","BJP","Vijayraj Shingh","INC","Ashok Jain","AAAP","RALLIES,SHOOAB,MOTAR SHOW","BJP","","","INC","","","","BJP","","","BJP","","","","INC","BJP","","GIFT","8","MIX","","BJP","","","OM BIRLA","BJP",55.8306770324707,"IJYARAJ SINGH","INC",38.4463539123535,"ASHOK KUMAR JAIN","AAAP",1.47026741504669,1,24,"GEN","5",2014-04-17,1
"170","Rajasthan","Alwar",337,"144-1",2014-04-15,"Mahen Chand Nad","BJP","Jitender  Singh","INC","Dr.Vijandra Vidoni","AAAP","TV , JAHIRAN , SABHA , RALLY","BJP","","","BJP","INC","","","BJP","","","BJP","","","","INC","","","BAJANA SAMAJ KA VIKAS","","BANJARA JYADA HAI","","BJP","","","CHAND NATH","BJP",60.4607887268066,"BHANWAR JITENDRA SINGH","INC",33.7363548278809,"AZAD HUSAIN","BSP",1.83403074741364,1,8,"GEN","6",2014-04-24,1
"171","Rajasthan","Banswara",374,"145-1",2014-04-15,"Kantilal Bhuliya","INC","Dilip Singh Bhuliya","BJP","","","SABHA POSTER RALLIES","INC","","","INC","","","","BJP","","","BJP","","","","BJP","","","PAISA BATTI HAI","1","MILL ADIWASI SAMAJ","9","BJP","","","MANSHANKAR NINAMA","BJP",49.3031845092773,"RESHAM MALVIYA","INC",41.4550857543945,"None of the Above","NOTA",2.93753004074097,1,20,"ST","5",2014-04-17,1
"172","Rajasthan","Ajmer",140,"146-1",2014-04-15,"Sanwar Lal Jaat","BJP","Sachin Payalat","INC","","","POSTER, RAILLIES, SABHA","BJP","","","INC","BJP","","","BJP","INC","","BJP","INC","","","BJP","INC","","JAAT SAMAJACHA VIKAS","","JAT","32","BJP","","","SANWAR LAL JAT","BJP",55.1644287109375,"SACHIN PILOT","INC",40.2910461425781,"None of the Above","NOTA",1.08499944210052,NA,13,"GEN","5",2014-04-17,1
"173","Rajasthan","Ganganagar",143,"147-1",2014-04-15,"Bhawan Lal Meghwal","INC","Nihal Maghwal","BJP","","","SABHA RAYLI POSTER","INC","","","INC","","","","INC","","","INC","","","","BJP","","","PAISA BATTI HAI","1","MIX","","BJP","","","NIHALCHAND","BJP",52.3652801513672,"MASTER BHANWARLAL MEGHWAL","INC",29.1523914337158,"SHIMLA DEVI NAYAK (ADVOCATE)","nuzp",8.48062515258789,NA,1,"SC","5",2014-04-17,1
"174","Rajasthan","Ganganagar",302,"148-1",2014-04-15,"Master  Bhawer Lal","INC","Shimla Naik","","Nihar Chand","BJP","SABHA POPSTER RAILY","INC","BJP","","INC","","","","INC","BJP","","INC","","","","BJP","","","PAISA","1","ALL CLASS","17","BJP","","","NIHALCHAND","BJP",52.3652801513672,"MASTER BHANWARLAL MEGHWAL","INC",29.1523914337158,"SHIMLA DEVI NAYAK (ADVOCATE)","nuzp",8.48062515258789,NA,1,"SC","5",2014-04-17,1
"175","Rajasthan","Karauli-Dholpur",301,"149-1",2014-04-15,"Manoj","BJP","Lakhiram","INC","Lakhan Singh Morya ,  Gangaram","AAAP","PRACHAR SABHA RAILLIES","BJP","INC","","BJP","INC","","","BJP","AAAP","","INC","","","","BJP","","","PANI DEVYACHE ASWASAN DILE","","ALL CLASS","17","BJP","","","MANOJ RAJORIA","BJP",47.5691566467285,"LAKKHIRAM","INC",44.3519096374512,"G.R.BARUA","BSP",2.97302055358887,1,10,"SC","6",2014-04-24,1
"176","Rajasthan","Chittorgarh",126,"150-1",2014-04-15,"C.P Joshi","BJP","Girija Vyas","INC","Narender Gupta","AAAP","PRACHAR SABHA RAILI","INC","BJP","","BJP","INC","","","BJP","INC","","INC","BJP","","","INC","","","PAISE BATWANA","1","SHEMKRI KAMGAR","","INC","","","CHANDRA PRAKASH JOSHI","BJP",59.9708862304688,"GIRIJA VYAS","INC",32.9498062133789,"RADHA DEVI","CPI",1.84141790866852,1,21,"GEN","5",2014-04-17,1
"177","Rajasthan","Churu",125,"151-1",2014-04-15,"Rahul Kaswa","BJP","Pratap Sinha","INC","Abhiner Mahesi","BSP","PRACHAR SABHA RAILI SMS","BJP","INC","","INC","","","","BJP","","","INC","","","","BJP","","","YUVA KO PAISE DENA","1","YUVA","11","BJP","","","RAHUL KASWAN","BJP",52.6703109741211,"ABHINESH MAHARSHI","BSP",26.6126728057861,"PRATAP SINGH","INC",15.6406488418579,1,3,"GEN","5",2014-04-17,1
"178","Rajasthan","Kota",20,"152-1",2014-04-15,"O.Bidla","BJP","Vijayraj Singh","INC","Ashok Jain","AAAP","SMS , TV ,JAHIRAN , SABHA , RALLY","BJP","","","INC","","","","BJP","","","BJP","","","","BJP","","","","","SHINKARI","","BJP","","","OM BIRLA","BJP",55.8306770324707,"IJYARAJ SINGH","INC",38.4463539123535,"ASHOK KUMAR JAIN","AAAP",1.47026741504669,1,24,"GEN","5",2014-04-17,1
"179","Rajasthan","Bikaner",485,"153-1",2014-04-15,"Arjun Meghwal","BJP","Shankar Pannu","INC","","","PARCHAR , SABHA , RALLY","INC","","","INC","","","","BJP","","","INC","","","","BJP","","","PAISA BATNA","1","SC","22","BJP","","","ARJUN RAM MEGHWAL","BJP",62.9127578735352,"ER. SHANKAR PANNU","INC",29.7771129608154,"MANGILAL NAYAK","nuzp",1.81113004684448,1,2,"SC","5",2014-04-17,1
"180","Rajasthan","Bhilwara",383,"154-1",2014-04-15,"Subhash Rediya","BJP","Ashok Chalna","INC","","","MOBILE SMS , SABHA , RALLIES","INC","","","INC","","","","BJP","","","INC","","","","BJP","","","PAISA BATNA","1","MIX","","BJP","","","SUBHASH BAHERIA","BJP",57.0892753601074,"ASHOK CHANDNA","INC",34.7845726013184,"None of the Above","NOTA",1.78409373760223,1,23,"GEN","5",2014-04-17,1
"181","Rajasthan","Bharatpur",330,"155-1",2014-04-15,"Bhaskar Singh Poli","BJP","Bhaskar Singh Jaat","INC","Paariya","AAAP","SABHA , PARCHAR , SMS MOBILE","INC","AAP","","BJP","INC","","","INC","","","BJP","","","","BJP","INC","","PAISE BATNA","1","JAAT","32","INC","","","BAHADUR SINGH","BJP",60.2458152770996,"DR.SURESH JATAV","INC",34.7408447265625,"MAHENDAR KUMAR JATAV","BSP",2.29522705078125,1,9,"SC","6",2014-04-24,1
"182","Rajasthan","Barmer",320,"156-1",2014-04-15,"Somaram Choudhary","BJP","Harish Choudhary","INC","Jaswant Singh","","SABHA, PARCHAR, RALLIES","BJP","","","BJP","INC","","","","","","INC","","","","INC","","","UVACHMA NOKRICHA PARSHAN","","YUVA","","","","","COL. SONA RAM","BJP",40.0901794433594,"JASWANT SINGH","IND",32.9160652160645,"HARISH CHAUDHARY","INC",18.1180839538574,1,17,"GEN","5",2014-04-17,1
"183","Rajasthan","Alwar",8157,"157-1",2014-04-24,"Mahander Chandnath","BJP","Jitander Singh","INC","Mohd.Azad Husan","BSP","RALI K DURA , AAM SABHA ,ROAD SHOW ,GHAR GHAR JAKER LOGO S MILNA, NUKAHA SABHA","INC","","","BJP","","","","INC","","","INC","","","","BJP","","","BJP= CASH AND SARAB","1,3","BJP=SLAM ARIA K LOGO KO DATA H","2","BJP","","","CHAND NATH","BJP",60.4607887268066,"BHANWAR JITENDRA SINGH","INC",33.7363548278809,"AZAD HUSAIN","BSP",1.83403074741364,1,8,"GEN","6",2014-04-24,1
"184","Rajasthan","Alwar",134,"158-1",2014-04-21,"Jitander Singh","INC","Mahinder Chander Nath","BJP","","","GAV GAV M GADI S JAKER , NUKARDA SABH AAM SABH , POSTER ,PAMPLET K DURA","INC","","","INC","","","","INC","","","BJP","","","","INC","","","CNG=CASH DIYA","1","CNG=GAV K GARIB LOGO M BAT RAH H","12, 13","BJP","","","CHAND NATH","BJP",60.4607887268066,"BHANWAR JITENDRA SINGH","INC",33.7363548278809,"AZAD HUSAIN","BSP",1.83403074741364,1,8,"GEN","6",2014-04-24,1
"185","Rajasthan","Jaipur",352,"159-1",2014-04-16,"Vimander Singh","INC","Nath Sanda Nath Yogi","BJP","","","GHAR GHAR JATA H , SABHA KARTA H BATDA LITER K SATH BANER LAG KAR BAT KARTA H OR UNKA SATH BATK LAGA","INC","","","INC","","","","INC","","","INC","","","","INC","","","CNG=VAHAN","7","CNG=PATROL OR GARI ACHI ADMI KO D RAHI H","","INC","","","RAMCHARAN BOHARA","BJP",66.5757217407227,"DR. MAHESH JOSHI","INC",24.9854640960693,"DR. VIRENDRA SINGH","AAAP",4.25028896331787,NA,7,"GEN","5",2014-04-17,1
"186","Rajasthan","Jaipur",123,"160-1",2014-04-16,"Jitendra Singh","INC","Mhant Chand Nath","BJP","","","HOLDING PONPLEYT MEETING VAHAN KI SUVIDHA","INC","","","INC","","","","INC","","","INC","","","","INC","","","CONG PAISA VAHAN","1,7","CONG GARIBO KI MADAD KRKE GADYO KI MADAD SEV VOTE DENE","12","INC","","","RAMCHARAN BOHARA","BJP",66.5757217407227,"DR. MAHESH JOSHI","INC",24.9854640960693,"DR. VIRENDRA SINGH","AAAP",4.25028896331787,NA,7,"GEN","5",2014-04-17,1
